SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    1.90000   1.70000   3.20000  75.00000 125.00000   0.00000   -344.84873209   -344.84873167  -0.4169668E-06
    1.90000   1.90000   3.00000  75.00000 125.00000   0.00000   -344.84513620   -344.84513619  -0.8226721E-08
    1.50000   1.90000   3.20000 125.00000 100.00000   0.00000   -344.84519831   -344.84519295  -0.5364794E-05
    2.10000   1.70000   3.20000 125.00000 100.00000   0.00000   -344.88515485   -344.88516939   0.1453802E-04
    1.70000   2.10000   3.20000 125.00000 100.00000   0.00000   -344.88709552   -344.88710715   0.1162591E-04
    1.90000   1.50000   3.20000 125.00000 100.00000   0.00000   -344.84350681   -344.84349941  -0.7397912E-05
    2.10000   1.90000   3.00000 125.00000 100.00000   0.00000   -344.88675539   -344.88675591   0.5223318E-06
    1.70000   1.70000   3.00000 125.00000 100.00000   0.00000   -344.87050324   -344.87050776   0.4521160E-05
    1.90000   2.10000   3.00000 125.00000 100.00000   0.00000   -344.88785064   -344.88785919   0.8548871E-05
    1.70000   1.90000   3.40000 125.00000 100.00000   0.00000   -344.89298704   -344.89298964   0.2602350E-05
    1.90000   1.70000   3.40000 125.00000 100.00000   0.00000   -344.89222112   -344.89222279   0.1670098E-05
    1.90000   1.90000   2.80000 125.00000 100.00000   0.00000   -344.86086028   -344.86085702  -0.3257401E-05
    2.10000   1.90000   3.20000 100.00000 100.00000   0.00000   -344.86845621   -344.86845608  -0.1333383E-06
    1.70000   1.70000   3.20000 100.00000 100.00000   0.00000   -344.85451896   -344.85453934   0.2038234E-04
    1.90000   2.10000   3.20000 100.00000 100.00000   0.00000   -344.86845621   -344.86845608  -0.1333378E-06
    1.70000   1.90000   3.00000 100.00000 100.00000   0.00000   -344.85042341   -344.85042223  -0.1182695E-05
    1.90000   1.70000   3.00000 100.00000 100.00000   0.00000   -344.85042341   -344.85042223  -0.1182696E-05
    1.90000   1.90000   3.40000 100.00000 100.00000   0.00000   -344.87747419   -344.87747459   0.4002860E-06
    1.70000   1.90000   3.20000 150.00000 100.00000   0.00000   -344.89824018   -344.89823543  -0.4749116E-05
    1.90000   1.70000   3.20000 150.00000 100.00000   0.00000   -344.89645440   -344.89644914  -0.5259117E-05
    1.90000   1.90000   3.00000 150.00000 100.00000   0.00000   -344.90042546   -344.90042756   0.2104298E-05
    1.90000   1.90000   3.20000  75.00000 100.00000   0.00000   -344.83345403   -344.83345401  -0.2234214E-07
    2.10000   1.90000   3.20000 125.00000 150.00000   0.00000   -344.89750977   -344.89750849  -0.1283503E-05
    1.70000   1.70000   3.20000 125.00000 150.00000   0.00000   -344.87044175   -344.87045695   0.1519511E-04
    1.90000   2.10000   3.20000 125.00000 150.00000   0.00000   -344.89639738   -344.89639669  -0.6947167E-06
    1.70000   1.90000   3.00000 125.00000 150.00000   0.00000   -344.87771145   -344.87771390   0.2453463E-05
    1.90000   1.70000   3.00000 125.00000 150.00000   0.00000   -344.87885331   -344.87885566   0.2351527E-05
    1.90000   1.90000   3.40000 125.00000 150.00000   0.00000   -344.89647484   -344.89647248  -0.2364619E-05
    1.70000   1.90000   3.20000 100.00000 150.00000   0.00000   -344.89645440   -344.89644914  -0.5259116E-05
    1.90000   1.70000   3.20000 100.00000 150.00000   0.00000   -344.89824018   -344.89823543  -0.4749117E-05
    1.90000   1.90000   3.00000 100.00000 150.00000   0.00000   -344.90042546   -344.90042756   0.2104298E-05
    1.90000   1.90000   3.20000 150.00000 150.00000   0.00000   -344.84368898   -344.84368902   0.4289797E-07
    1.70000   1.90000   3.20000 125.00000  75.00000   0.00000   -344.84873209   -344.84873167  -0.4169671E-06
    1.90000   1.70000   3.20000 125.00000  75.00000   0.00000   -344.84520153   -344.84520118  -0.3512478E-06
    1.90000   1.90000   3.00000 125.00000  75.00000   0.00000   -344.84513620   -344.84513619  -0.8227062E-08
    1.90000   1.90000   3.20000 100.00000  75.00000   0.00000   -344.83345403   -344.83345401  -0.2234219E-07
    1.50000   1.90000   3.20000 125.00000 125.00000 -10.00000   -344.85829111   -344.85831670   0.2559083E-04
    2.10000   1.70000   3.20000 125.00000 125.00000 -10.00000   -344.90229845   -344.90228892  -0.9531185E-05
    1.70000   2.10000   3.20000 125.00000 125.00000 -10.00000   -344.90229845   -344.90228892  -0.9531185E-05
    1.90000   1.50000   3.20000 125.00000 125.00000 -10.00000   -344.85829111   -344.85831670   0.2559083E-04
    2.10000   1.90000   3.00000 125.00000 125.00000 -10.00000   -344.90615904   -344.90615589  -0.3151524E-05
    1.70000   1.70000   3.00000 125.00000 125.00000 -10.00000   -344.88649132   -344.88650265   0.1133082E-04
