SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   3.10000 100.00000 100.00000 -10.00000   -344.81675940   -344.81675136  -0.8044746E-05
    2.80000   2.80000   3.10000 125.00000 150.00000 -10.00000   -344.82492080   -344.82492456   0.3756399E-05
    2.60000   2.80000   3.10000 125.00000 125.00000  10.00000   -344.84275100   -344.84274432  -0.6676686E-05
    2.80000   2.60000   3.10000 125.00000 125.00000  10.00000   -344.84275100   -344.84274432  -0.6675291E-05
    2.80000   2.80000   2.90000 125.00000 125.00000  10.00000   -344.83680910   -344.83679497  -0.1412902E-04
    2.80000   2.80000   3.10000 100.00000 125.00000  10.00000   -344.83778480   -344.83777884  -0.5959860E-05
    2.80000   2.80000   3.10000 125.00000 100.00000  10.00000   -344.83778480   -344.83777883  -0.5971115E-05
    2.80000   2.80000   3.10000 125.00000 125.00000 -20.00000   -344.84534050   -344.84533881  -0.1688244E-05
    3.20000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.83559620   -344.83559053  -0.5673618E-05
    2.40000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.82313210   -344.82313451   0.2413874E-05
    3.00000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.84014720   -344.84014718  -0.1518396E-07
    2.60000   2.40000   3.10000 125.00000 125.00000   0.00000   -344.82313210   -344.82313451   0.2413876E-05
    2.80000   3.20000   3.10000 125.00000 125.00000   0.00000   -344.83559620   -344.83559053  -0.5670866E-05
    2.40000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.81707130   -344.81707438   0.3081154E-05
    3.00000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.82987040   -344.82987105   0.6514211E-06
    2.60000   3.00000   2.90000 125.00000 125.00000   0.00000   -344.82987040   -344.82987105   0.6521740E-06
    2.80000   2.40000   2.90000 125.00000 125.00000   0.00000   -344.81707130   -344.81707438   0.3077795E-05
    3.00000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.83795620   -344.83795696   0.7559947E-06
    2.60000   2.60000   3.30000 125.00000 125.00000   0.00000   -344.83373830   -344.83374009   0.1794845E-05
    2.80000   3.00000   3.30000 125.00000 125.00000   0.00000   -344.83795620   -344.83795696   0.7554597E-06
    2.60000   2.80000   2.70000 125.00000 125.00000   0.00000   -344.79593830   -344.79594268   0.4378476E-05
    2.80000   2.60000   2.70000 125.00000 125.00000   0.00000   -344.79593830   -344.79594268   0.4375116E-05
    2.80000   2.80000   3.50000 125.00000 125.00000   0.00000   -344.82754830   -344.82753562  -0.1268284E-04
    2.40000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.81778180   -344.81778270   0.9044994E-06
    3.00000   2.60000   3.10000 100.00000 125.00000   0.00000   -344.83075000   -344.83075066   0.6569035E-06
    2.60000   3.00000   3.10000 100.00000 125.00000   0.00000   -344.83001840   -344.83001922   0.8249452E-06
    2.80000   2.40000   3.10000 100.00000 125.00000   0.00000   -344.81845900   -344.81846097   0.1967843E-05
    3.00000   2.80000   2.90000 100.00000 125.00000   0.00000   -344.82415660   -344.82415647  -0.1318450E-06
    2.60000   2.60000   2.90000 100.00000 125.00000   0.00000   -344.81899230   -344.81899179  -0.5116058E-06
    2.80000   3.00000   2.90000 100.00000 125.00000   0.00000   -344.82371960   -344.82371969   0.9452157E-07
    2.60000   2.80000   3.30000 100.00000 125.00000   0.00000   -344.82913730   -344.82913693  -0.3692977E-06
    2.80000   2.60000   3.30000 100.00000 125.00000   0.00000   -344.82942810   -344.82942780  -0.2986050E-06
    2.80000   2.80000   2.70000 100.00000 125.00000   0.00000   -344.78978810   -344.78978597  -0.2133662E-05
    3.00000   2.80000   3.10000 150.00000 125.00000   0.00000   -344.82325680   -344.82325592  -0.8821701E-06
    2.60000   2.60000   3.10000 150.00000 125.00000   0.00000   -344.81510080   -344.81510225   0.1454108E-05
    2.80000   3.00000   3.10000 150.00000 125.00000   0.00000   -344.82321950   -344.82321722  -0.2281113E-05
    2.60000   2.80000   2.90000 150.00000 125.00000   0.00000   -344.81094610   -344.81094584  -0.2619529E-06
    2.80000   2.60000   2.90000 150.00000 125.00000   0.00000   -344.81088410   -344.81088412   0.1869546E-07
    2.80000   2.80000   3.30000 150.00000 125.00000   0.00000   -344.81967700   -344.81968082   0.3819590E-05
    2.60000   2.80000   3.10000  75.00000 125.00000   0.00000   -344.79812390   -344.79812484   0.9410904E-06
    2.80000   2.60000   3.10000  75.00000 125.00000   0.00000   -344.79956600   -344.79956851   0.2511576E-05
    2.80000   2.80000   2.90000  75.00000 125.00000   0.00000   -344.79312720   -344.79312330  -0.3897986E-05
    2.40000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.81845900   -344.81846097   0.1967919E-05
    3.00000   2.60000   3.10000 125.00000 100.00000   0.00000   -344.83001840   -344.83001923   0.8251228E-06
    2.60000   3.00000   3.10000 125.00000 100.00000   0.00000   -344.83075000   -344.83075066   0.6571959E-06
    2.80000   2.40000   3.10000 125.00000 100.00000   0.00000   -344.81778180   -344.81778270   0.9024568E-06
    3.00000   2.80000   2.90000 125.00000 100.00000   0.00000   -344.82371960   -344.82371969   0.9404135E-07
    2.60000   2.60000   2.90000 125.00000 100.00000   0.00000   -344.81899240   -344.81899189  -0.5118812E-06
    2.80000   3.00000   2.90000 125.00000 100.00000   0.00000   -344.82415660   -344.82415647  -0.1347021E-06
    2.60000   2.80000   3.30000 125.00000 100.00000   0.00000   -344.82942810   -344.82942780  -0.2989813E-06
    2.80000   2.60000   3.30000 125.00000 100.00000   0.00000   -344.82913730   -344.82913693  -0.3721647E-06
    2.80000   2.80000   2.70000 125.00000 100.00000   0.00000   -344.78978810   -344.78978596  -0.2136153E-05
    3.00000   2.80000   3.10000 100.00000 100.00000   0.00000   -344.81310490   -344.81310493   0.3283611E-07
    2.60000   2.60000   3.10000 100.00000 100.00000   0.00000   -344.80800720   -344.80800723   0.3404165E-07
    2.80000   3.00000   3.10000 100.00000 100.00000   0.00000   -344.81310490   -344.81310493   0.3296839E-07
    2.60000   2.80000   2.90000 100.00000 100.00000   0.00000   -344.79977790   -344.79977812   0.2249051E-06
    2.80000   2.60000   2.90000 100.00000 100.00000   0.00000   -344.79977790   -344.79977812   0.2247838E-06
    2.80000   2.80000   3.30000 100.00000 100.00000   0.00000   -344.81269510   -344.81269445  -0.6487183E-06
    2.60000   2.80000   3.10000 150.00000 100.00000   0.00000   -344.83137160   -344.83137098  -0.6203595E-06
    2.80000   2.60000   3.10000 150.00000 100.00000   0.00000   -344.83108110   -344.83108051  -0.5898312E-06
    2.80000   2.80000   2.90000 150.00000 100.00000   0.00000   -344.82570430   -344.82570293  -0.1370493E-05
    2.80000   2.80000   3.10000  75.00000 100.00000   0.00000   -344.77718140   -344.77717575  -0.5652910E-05
    3.00000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.82321950   -344.82321722  -0.2280574E-05
    2.60000   2.60000   3.10000 125.00000 150.00000   0.00000   -344.81510080   -344.81510225   0.1454619E-05
    2.80000   3.00000   3.10000 125.00000 150.00000   0.00000   -344.82325680   -344.82325592  -0.8806029E-06
    2.60000   2.80000   2.90000 125.00000 150.00000   0.00000   -344.81088410   -344.81088412   0.1851924E-07
    2.80000   2.60000   2.90000 125.00000 150.00000   0.00000   -344.81094610   -344.81094583  -0.2666773E-06
    2.80000   2.80000   3.30000 125.00000 150.00000   0.00000   -344.81967700   -344.81968082   0.3821733E-05
    2.60000   2.80000   3.10000 100.00000 150.00000   0.00000   -344.83108110   -344.83108051  -0.5899848E-06
    2.80000   2.60000   3.10000 100.00000 150.00000   0.00000   -344.83137160   -344.83137098  -0.6201583E-06
    2.80000   2.80000   2.90000 100.00000 150.00000   0.00000   -344.82570430   -344.82570293  -0.1370457E-05
    2.80000   2.80000   3.10000 150.00000 150.00000   0.00000   -344.77440600   -344.77441255   0.6552816E-05
    2.60000   2.80000   3.10000 125.00000  75.00000   0.00000   -344.79956600   -344.79956851   0.2511708E-05
