SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.60000   2.40000   3.10000 125.00000 125.00000   0.00000   -344.81700949   -344.81700949   0.5684342E-13
    2.80000   3.20000   3.10000 125.00000 125.00000   0.00000   -344.82954612   -344.82954612   0.0000000E+00
    2.40000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.81076825   -344.81076825   0.0000000E+00
    3.00000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.82360130   -344.82360130  -0.3979039E-12
    2.60000   3.00000   2.90000 125.00000 125.00000   0.00000   -344.82360130   -344.82360130  -0.5684342E-13
    2.80000   2.40000   2.90000 125.00000 125.00000   0.00000   -344.81076825   -344.81076825   0.5684342E-13
    3.00000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.83201935   -344.83201935   0.0000000E+00
    2.60000   2.60000   3.30000 125.00000 125.00000   0.00000   -344.82776189   -344.82776189  -0.1705303E-12
    2.80000   3.00000   3.30000 125.00000 125.00000   0.00000   -344.83201935   -344.83201935   0.1136868E-12
    2.60000   2.80000   2.70000 125.00000 125.00000   0.00000   -344.78937507   -344.78937507  -0.1136868E-12
    2.80000   2.60000   2.70000 125.00000 125.00000   0.00000   -344.78937507   -344.78937507   0.0000000E+00
    2.80000   2.80000   3.50000 125.00000 125.00000   0.00000   -344.82166035   -344.82166035  -0.5684342E-13
    2.40000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.81169903   -344.81169903   0.5684342E-13
    3.00000   2.60000   3.10000 100.00000 125.00000   0.00000   -344.82470859   -344.82470859  -0.2273737E-12
    2.60000   3.00000   3.10000 100.00000 125.00000   0.00000   -344.82396296   -344.82396296  -0.1136868E-12
    2.80000   2.40000   3.10000 100.00000 125.00000   0.00000   -344.81239027   -344.81239027  -0.5684342E-13
    3.00000   2.80000   2.90000 100.00000 125.00000   0.00000   -344.81792035   -344.81792035  -0.1705303E-12
    2.60000   2.60000   2.90000 100.00000 125.00000   0.00000   -344.81271753   -344.81271753   0.0000000E+00
    2.80000   3.00000   2.90000 100.00000 125.00000   0.00000   -344.81747538   -344.81747538  -0.1705303E-12
    2.60000   2.80000   3.30000 100.00000 125.00000   0.00000   -344.82320504   -344.82320504   0.0000000E+00
    2.80000   2.60000   3.30000 100.00000 125.00000   0.00000   -344.82350175   -344.82350175  -0.5684342E-13
    2.80000   2.80000   2.70000 100.00000 125.00000   0.00000   -344.78324264   -344.78324264   0.5684342E-13
    3.00000   2.80000   3.10000 150.00000 125.00000   0.00000   -344.81718509   -344.81718509  -0.1705303E-12
    2.60000   2.60000   3.10000 150.00000 125.00000   0.00000   -344.80897852   -344.80897852  -0.1136868E-12
    2.80000   3.00000   3.10000 150.00000 125.00000   0.00000   -344.81715323   -344.81715323  -0.5684342E-13
    2.60000   2.80000   2.90000 150.00000 125.00000   0.00000   -344.80465985   -344.80465985  -0.5684342E-13
    2.80000   2.60000   2.90000 150.00000 125.00000   0.00000   -344.80458885   -344.80458885   0.0000000E+00
    2.80000   2.80000   3.30000 150.00000 125.00000   0.00000   -344.81371557   -344.81371557   0.0000000E+00
    2.60000   2.80000   3.10000  75.00000 125.00000   0.00000   -344.79204360   -344.79204360  -0.1136868E-12
    2.80000   2.60000   3.10000  75.00000 125.00000   0.00000   -344.79350412   -344.79350412  -0.5684342E-13
    2.80000   2.80000   2.90000  75.00000 125.00000   0.00000   -344.78683656   -344.78683656   0.5684342E-13
    2.40000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.81239027   -344.81239027   0.1136868E-12
    3.00000   2.60000   3.10000 125.00000 100.00000   0.00000   -344.82396297   -344.82396297  -0.2273737E-12
    2.60000   3.00000   3.10000 125.00000 100.00000   0.00000   -344.82470859   -344.82470859   0.0000000E+00
    2.80000   2.40000   3.10000 125.00000 100.00000   0.00000   -344.81169903   -344.81169903  -0.1136868E-12
