SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.40000   3.10000 125.00000 100.00000   0.00000   -344.81202260   -344.81202351   0.9058620E-06
    3.00000   2.80000   2.90000 125.00000 100.00000   0.00000   -344.81800210   -344.81800219   0.9203126E-07
    2.60000   2.60000   2.90000 125.00000 100.00000   0.00000   -344.81327430   -344.81327379  -0.5086903E-06
    2.80000   3.00000   2.90000 125.00000 100.00000   0.00000   -344.81844400   -344.81844386  -0.1360732E-06
    2.60000   2.80000   3.30000 125.00000 100.00000   0.00000   -344.82362850   -344.82362820  -0.2986036E-06
    2.80000   2.60000   3.30000 125.00000 100.00000   0.00000   -344.82333460   -344.82333423  -0.3681357E-06
    2.80000   2.80000   2.70000 125.00000 100.00000   0.00000   -344.78410820   -344.78410609  -0.2112910E-05
    3.00000   2.80000   3.10000 100.00000 100.00000   0.00000   -344.80735090   -344.80735094   0.3729212E-07
    2.60000   2.60000   3.10000 100.00000 100.00000   0.00000   -344.80225550   -344.80225553   0.3249289E-07
    2.80000   3.00000   3.10000 100.00000 100.00000   0.00000   -344.80735090   -344.80735094   0.3742440E-07
    2.60000   2.80000   2.90000 100.00000 100.00000   0.00000   -344.79405720   -344.79405742   0.2212361E-06
    2.80000   2.60000   2.90000 100.00000 100.00000   0.00000   -344.79405720   -344.79405742   0.2211151E-06
    2.80000   2.80000   3.30000 100.00000 100.00000   0.00000   -344.80690780   -344.80690716  -0.6395320E-06
    2.60000   2.80000   3.10000 150.00000 100.00000   0.00000   -344.82558080   -344.82558019  -0.6085332E-06
    2.80000   2.60000   3.10000 150.00000 100.00000   0.00000   -344.82528440   -344.82528382  -0.5784625E-06
    2.80000   2.80000   2.90000 150.00000 100.00000   0.00000   -344.81995950   -344.81995815  -0.1353894E-05
    2.80000   2.80000   3.10000  75.00000 100.00000   0.00000   -344.77140010   -344.77139450  -0.5595091E-05
    3.00000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.81742170   -344.81741943  -0.2268163E-05
    2.60000   2.60000   3.10000 125.00000 150.00000   0.00000   -344.80929160   -344.80929304   0.1444345E-05
    2.80000   3.00000   3.10000 125.00000 150.00000   0.00000   -344.81745530   -344.81745442  -0.8840181E-06
    2.60000   2.80000   2.90000 125.00000 150.00000   0.00000   -344.80512310   -344.80512312   0.1654865E-07
    2.80000   2.60000   2.90000 125.00000 150.00000   0.00000   -344.80518920   -344.80518893  -0.2650123E-06
    2.80000   2.80000   3.30000 125.00000 150.00000   0.00000   -344.81382430   -344.81382809   0.3794357E-05
    2.60000   2.80000   3.10000 100.00000 150.00000   0.00000   -344.82528440   -344.82528382  -0.5785902E-06
    2.80000   2.60000   3.10000 100.00000 150.00000   0.00000   -344.82558080   -344.82558019  -0.6083479E-06
    2.80000   2.80000   2.90000 100.00000 150.00000   0.00000   -344.81995950   -344.81995815  -0.1353860E-05
    2.80000   2.80000   3.10000 150.00000 150.00000   0.00000   -344.76854950   -344.76855598   0.6483048E-05
    2.60000   2.80000   3.10000 125.00000  75.00000   0.00000   -344.79379470   -344.79379720   0.2501733E-05
    2.80000   2.60000   3.10000 125.00000  75.00000   0.00000   -344.79234690   -344.79234784   0.9428566E-06
    2.80000   2.80000   2.90000 125.00000  75.00000   0.00000   -344.78738950   -344.78738563  -0.3867548E-05
    2.80000   2.80000   3.10000 100.00000  75.00000   0.00000   -344.77140010   -344.77139450  -0.5595090E-05
    2.40000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.82100540   -344.82101232   0.6924736E-05
    3.00000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83353880   -344.83354111   0.2305199E-05
    2.60000   3.00000   3.10000 125.00000 125.00000 -10.00000   -344.83353880   -344.83354111   0.2305349E-05
    2.80000   2.40000   3.10000 125.00000 125.00000 -10.00000   -344.82100540   -344.82101232   0.6921975E-05
    3.00000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.82774980   -344.82774774  -0.2058108E-05
    2.60000   2.60000   2.90000 125.00000 125.00000 -10.00000   -344.82266960   -344.82267361   0.4005677E-05
    2.80000   3.00000   2.90000 125.00000 125.00000 -10.00000   -344.82774980   -344.82774775  -0.2054125E-05
    2.60000   2.80000   3.30000 125.00000 125.00000 -10.00000   -344.83144860   -344.83144416  -0.4441932E-05
    2.80000   2.60000   3.30000 125.00000 125.00000 -10.00000   -344.83144860   -344.83144416  -0.4438220E-05
    2.80000   2.80000   2.70000 125.00000 125.00000 -10.00000   -344.79406760   -344.79407682   0.9224881E-05
    3.00000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.82867060   -344.82866316  -0.7439494E-05
    2.60000   2.60000   3.10000 100.00000 125.00000 -10.00000   -344.82418070   -344.82418792   0.7217836E-05
    2.80000   3.00000   3.10000 100.00000 125.00000 -10.00000   -344.82829130   -344.82828140  -0.9897562E-05
    2.60000   2.80000   2.90000 100.00000 125.00000 -10.00000   -344.81701410   -344.81701527   0.1167938E-05
    2.80000   2.60000   2.90000 100.00000 125.00000 -10.00000   -344.81742750   -344.81743046   0.2958982E-05
    2.80000   2.80000   3.30000 100.00000 125.00000 -10.00000   -344.82722330   -344.82721595  -0.7352545E-05
    2.60000   2.80000   3.10000 150.00000 125.00000 -10.00000   -344.81400510   -344.81399966  -0.5441036E-05
    2.80000   2.60000   3.10000 150.00000 125.00000 -10.00000   -344.81399780   -344.81399240  -0.5395859E-05
    2.80000   2.80000   2.90000 150.00000 125.00000 -10.00000   -344.80974980   -344.80975438   0.4580594E-05
    2.80000   2.80000   3.10000  75.00000 125.00000 -10.00000   -344.79839300   -344.79843167   0.3866587E-04
    3.00000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.82829130   -344.82828140  -0.9895278E-05
    2.60000   2.60000   3.10000 125.00000 100.00000 -10.00000   -344.82418070   -344.82418792   0.7216514E-05
    2.80000   3.00000   3.10000 125.00000 100.00000 -10.00000   -344.82867060   -344.82866316  -0.7437016E-05
    2.60000   2.80000   2.90000 125.00000 100.00000 -10.00000   -344.81742750   -344.81743046   0.2961269E-05
    2.80000   2.60000   2.90000 125.00000 100.00000 -10.00000   -344.81701410   -344.81701526   0.1162304E-05
    2.80000   2.80000   3.30000 125.00000 100.00000 -10.00000   -344.82722330   -344.82721595  -0.7348401E-05
    2.60000   2.80000   3.10000 100.00000 100.00000 -10.00000   -344.80683210   -344.80681066  -0.2144461E-04
    2.80000   2.60000   3.10000 100.00000 100.00000 -10.00000   -344.80683210   -344.80681065  -0.2144636E-04
    2.80000   2.80000   2.90000 100.00000 100.00000 -10.00000   -344.79885250   -344.79883349  -0.1900752E-04
    2.80000   2.80000   3.10000 150.00000 100.00000 -10.00000   -344.82941800   -344.82937808  -0.3991811E-04
    2.60000   2.80000   3.10000 125.00000 150.00000 -10.00000   -344.81399780   -344.81399240  -0.5396866E-05
    2.80000   2.60000   3.10000 125.00000 150.00000 -10.00000   -344.81400510   -344.81399966  -0.5441215E-05
    2.80000   2.80000   2.90000 125.00000 150.00000 -10.00000   -344.80974980   -344.80975438   0.4582984E-05
    2.80000   2.80000   3.10000 100.00000 150.00000 -10.00000   -344.82941800   -344.82937808  -0.3992120E-04
    2.80000   2.80000   3.10000 125.00000  75.00000 -10.00000   -344.79839300   -344.79843167   0.3866781E-04
    3.00000   2.80000   3.10000 125.00000 125.00000  10.00000   -344.83750640   -344.83751265   0.6253669E-05
    2.60000   2.60000   3.10000 125.00000 125.00000  10.00000   -344.83290240   -344.83289341  -0.8988451E-05
    2.80000   3.00000   3.10000 125.00000 125.00000  10.00000   -344.83750640   -344.83751265   0.6248250E-05
    2.60000   2.80000   2.90000 125.00000 125.00000  10.00000   -344.82692440   -344.82691482  -0.9577606E-05
    2.80000   2.60000   2.90000 125.00000 125.00000  10.00000   -344.82692440   -344.82691484  -0.9558933E-05
    2.80000   2.80000   3.30000 125.00000 125.00000  10.00000   -344.83536780   -344.83537953   0.1172983E-04
    2.60000   2.80000   3.10000 100.00000 125.00000  10.00000   -344.82792140   -344.82792109  -0.3102829E-06
    2.80000   2.60000   3.10000 100.00000 125.00000  10.00000   -344.82827760   -344.82827497  -0.2630981E-05
    2.80000   2.80000   2.90000 100.00000 125.00000  10.00000   -344.82137180   -344.82137817   0.6368473E-05
    2.80000   2.80000   3.10000 150.00000 125.00000  10.00000   -344.81911670   -344.81912050   0.3801775E-05
    2.60000   2.80000   3.10000 125.00000 100.00000  10.00000   -344.82827760   -344.82827497  -0.2631744E-05
    2.80000   2.60000   3.10000 125.00000 100.00000  10.00000   -344.82792140   -344.82792110  -0.3003109E-06
    2.80000   2.80000   2.90000 125.00000 100.00000  10.00000   -344.82137180   -344.82137818   0.6376825E-05
    2.80000   2.80000   3.10000 100.00000 100.00000  10.00000   -344.81100850   -344.81100036  -0.8138003E-05
    2.80000   2.80000   3.10000 125.00000 150.00000  10.00000   -344.81911670   -344.81912050   0.3800109E-05
    2.60000   2.80000   3.10000 125.00000 125.00000 -20.00000   -344.83549510   -344.83550422   0.9119465E-05
    2.80000   2.60000   3.10000 125.00000 125.00000 -20.00000   -344.83549510   -344.83550422   0.9116042E-05
    2.80000   2.80000   2.90000 125.00000 125.00000 -20.00000   -344.82951600   -344.82951420  -0.1801892E-05
    2.80000   2.80000   3.10000 100.00000 125.00000 -20.00000   -344.83165520   -344.83166046   0.5261076E-05
    2.80000   2.80000   3.10000 125.00000 100.00000 -20.00000   -344.83165520   -344.83166046   0.5255716E-05
    2.80000   2.80000   3.10000 125.00000 125.00000  30.00000   -344.83706770   -344.83706398  -0.3718149E-05
    2.80000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84146820   -344.84147461   0.6409168E-05
    2.70000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84064480   -344.84065025   0.5449935E-05
    2.80000   2.70000   3.10000 125.00000 125.00000   0.00000   -344.84064480   -344.84065025   0.5450881E-05
    2.80000   2.80000   3.00000 125.00000 125.00000   0.00000   -344.83907770   -344.83909333   0.1562573E-04
    2.80000   2.80000   3.10000 120.00000 125.00000   0.00000   -344.84192520   -344.84193256   0.7360038E-05
    2.80000   2.80000   3.10000 125.00000 120.00000   0.00000   -344.84192520   -344.84193256   0.7361136E-05
    2.80000   2.80000   3.10000 125.00000 125.00000  -5.00000   -344.84135340   -344.84135903   0.5629434E-05
    2.90000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84043480   -344.84044009   0.5288642E-05
    2.70000   2.70000   3.10000 125.00000 125.00000   0.00000   -344.83980720   -344.83981511   0.7913827E-05
    2.80000   2.90000   3.10000 125.00000 125.00000   0.00000   -344.84043480   -344.84044009   0.5287230E-05
    2.70000   2.80000   3.00000 125.00000 125.00000   0.00000   -344.83821990   -344.83823717   0.1726558E-04
    2.80000   2.70000   3.00000 125.00000 125.00000   0.00000   -344.83821990   -344.83823718   0.1727536E-04
    2.80000   2.80000   3.20000 125.00000 125.00000   0.00000   -344.84003570   -344.84003406  -0.1644145E-05
    2.70000   2.80000   3.10000 120.00000 125.00000   0.00000   -344.84114340   -344.84115151   0.8114852E-05
    2.80000   2.70000   3.10000 120.00000 125.00000   0.00000   -344.84115470   -344.84116605   0.1135043E-04
    2.80000   2.80000   3.00000 120.00000 125.00000   0.00000   -344.83947240   -344.83947801   0.5612651E-05
    2.80000   2.80000   3.10000 130.00000 125.00000   0.00000   -344.83977610   -344.83976456  -0.1154222E-04
    2.70000   2.80000   3.10000 125.00000 120.00000   0.00000   -344.84115470   -344.84116605   0.1135161E-04
    2.80000   2.70000   3.10000 125.00000 120.00000   0.00000   -344.84114340   -344.84115152   0.8119930E-05
    2.80000   2.80000   3.00000 125.00000 120.00000   0.00000   -344.83947240   -344.83947802   0.5616513E-05
    2.80000   2.80000   3.10000 120.00000 120.00000   0.00000   -344.84167930   -344.84165524  -0.2406381E-04
    2.80000   2.80000   3.10000 125.00000 130.00000   0.00000   -344.83977610   -344.83976456  -0.1154444E-04
    2.70000   2.80000   3.10000 125.00000 125.00000  -5.00000   -344.84052720   -344.84053266   0.5462065E-05
    2.80000   2.70000   3.10000 125.00000 125.00000  -5.00000   -344.84052720   -344.84053266   0.5462991E-05
    2.80000   2.80000   3.00000 125.00000 125.00000  -5.00000   -344.83895600   -344.83897213   0.1613262E-04
    2.80000   2.80000   3.10000 120.00000 125.00000  -5.00000   -344.84182560   -344.84183099   0.5386021E-05
    2.80000   2.80000   3.10000 125.00000 120.00000  -5.00000   -344.84182560   -344.84183099   0.5387259E-05
    2.80000   2.80000   3.10000 125.00000 125.00000   5.00000   -344.84135340   -344.84135903   0.5629434E-05
    2.60000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.83747230   -344.83746171  -0.1059435E-04
    2.90000   2.70000   3.10000 125.00000 125.00000   0.00000   -344.83962340   -344.83962634   0.2944192E-05
    2.70000   2.90000   3.10000 125.00000 125.00000   0.00000   -344.83962340   -344.83962634   0.2942550E-05
    2.80000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83747230   -344.83746171  -0.1059300E-04
    2.90000   2.80000   3.00000 125.00000 125.00000   0.00000   -344.83807900   -344.83809458   0.1558076E-04
    2.70000   2.70000   3.00000 125.00000 125.00000   0.00000   -344.83734580   -344.83736770   0.2190459E-04
    2.80000   2.90000   3.00000 125.00000 125.00000   0.00000   -344.83807900   -344.83809457   0.1557314E-04
    2.70000   2.80000   3.20000 125.00000 125.00000   0.00000   -344.83924000   -344.83923639  -0.3608883E-05
    2.80000   2.70000   3.20000 125.00000 125.00000   0.00000   -344.83924000   -344.83923639  -0.3614879E-05
    2.80000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.83160780   -344.83158879  -0.1900522E-04
    2.90000   2.80000   3.10000 120.00000 125.00000   0.00000   -344.84084990   -344.84085384   0.3944102E-05
    2.70000   2.70000   3.10000 120.00000 125.00000   0.00000   -344.84036400   -344.84038077   0.1677401E-04
    2.80000   2.90000   3.10000 120.00000 125.00000   0.00000   -344.84083840   -344.84083923   0.8345656E-06
    2.70000   2.80000   3.00000 120.00000 125.00000   0.00000   -344.83865270   -344.83866174   0.9043325E-05
